DATE,DEXUSEU
2/22/17,1.0595
3/1/17,1.05944
3/8/17,1.05562
3/15/17,1.06396
3/22/17,1.07688
3/29/17,1.08166
4/5/17,1.06808
4/12/17,1.06196
4/19/17,1.06656
4/26/17,1.08222
5/3/17,1.09002
5/10/17,1.09278
5/17/17,1.0996
5/24/17,1.11858
5/31/17,1.120175
6/7/17,1.12472
6/14/17,1.12164
6/21/17,1.11546
6/28/17,1.12408
7/5/17,1.13835
7/12/17,1.14084
7/19/17,1.14806
7/26/17,1.16438
8/2/17,1.17792
8/9/17,1.17788
8/16/17,1.17574
8/23/17,1.17724
8/30/17,1.192
9/6/17,1.19065
9/13/17,1.19798
9/20/17,1.19522
9/27/17,1.18572
10/4/17,1.17706
10/11/17,1.177225
10/18/17,1.18032
10/25/17,1.17884
11/1/17,1.16344
11/8/17,1.16112
11/15/17,1.17155
11/22/17,1.17684
11/29/17,1.189575
12/6/17,1.18528
12/13/17,1.1768
12/20/17,1.18126
12/27/17,1.187
1/3/18,1.20135
1/10/18,1.19912
1/17/18,1.21595
1/24/18,1.22746
1/31/18,1.2416
2/7/18,1.24016
2/14/18,1.2298
2/21/18,1.23965
2/28/18,1.2274
3/7/18,1.23344
3/14/18,1.23436
3/21/18,1.22938
3/28/18,1.23742
4/4/18,1.22916
4/11/18,1.23092
4/18/18,1.2348
4/25/18,1.22476
5/2/18,1.20526
5/9/18,1.19116
5/16/18,1.1895
5/23/18,1.17634
5/30/18,1.16525
6/6/18,1.1699
6/13/18,1.17932
6/20/18,1.1605
6/27/18,1.16374
7/4/18,1.1629
7/11/18,1.17258
7/18/18,1.16756
7/25/18,1.1675
8/1/18,1.16808
8/8/18,1.15936
8/15/18,1.14088
8/22/18,1.1473
8/29/18,1.16574
9/5/18,1.1607
9/12/18,1.16034
9/19/18,1.16786
9/26/18,1.17568
10/3/18,1.15888
10/10/18,1.150825
10/17/18,1.15702
10/24/18,1.14686
10/31/18,1.13696
11/7/18,1.14078
11/14/18,1.133525
11/21/18,1.13916
11/28/18,1.130875
12/5/18,1.13515
12/12/18,1.13616
12/19/18,1.13566
12/26/18,1.1414
1/2/19,1.14175
1/9/19,1.1449
1/16/19,1.1449
1/23/19,1.137425
1/30/19,1.14018
2/6/19,1.14304
2/13/19,1.13128
2/20/19,1.129333333
2/27/19,1.13538
3/6/19,1.13406
3/13/19,1.12538
3/20/19,1.1333
3/27/19,1.12994
4/3/19,1.12204
4/10/19,1.12478
4/17/19,1.1292
4/24/19,1.123
5/1/19,1.11814
5/8/19,1.11902
5/15/19,1.12232
5/22/19,1.11656
5/29/19,1.11705
6/5/19,1.11946
6/12/19,1.1311
6/19/19,1.12274
6/26/19,1.13562
7/3/19,1.13258
